geoid,geographic_area_name,total_population,total_population_age_under_5_years,total_population_age_5_to_9_years,total_population_age_10_to_14_years,total_population_age_15_to_19_years,total_population_age_20_to_24_years,total_population_age_25_to_29_years,total_population_age_30_to_34_years,total_population_age_35_to_39_years,total_population_age_40_to_44_years,total_population_age_45_to_49_years,total_population_age_50_to_54_years,total_population_age_55_to_59_years,total_population_age_60_to_64_years,total_population_age_65_to_69_years,total_population_age_70_to_74_years,total_population_age_75_to_79_years,total_population_age_80_to_84_years,total_population_age_85_years_and_over,total_population_summary_indicators_median_age_years,total_population_summary_indicators_sex_ratio_males_per_100_females,median_household_income,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_44999,45000_to_49999,50000_to_59999,60000_to_74999,75000_to_99999,100000_to_124999,125000_to_149999,150000_to_199999,200000_or_more,income_in_the_past_12_months_below_poverty_level,no_schooling_completed,9th_grade,regular_high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,commute_total,car_truck_or_van,public_transport,bus,subway_or_elevated_rail,train_or_commuter_rail,walked,bicycle,motorcycle,other_means,family_households,family_households_other_family,nonfamily_households,hispanic_or_latino,not_hispanic_or_latino,white,black_or_african_american,asian,ZIP,avg_ped,total_vol_7am_8pm,avg_count_7am_8pm,parking_count,target_count,trader_joes_count,whole_foods_count,wegmans_count,aldi_count,station_count
10001,ZCTA5 10001,29079,1173,889,907,1302,2084,3993,4172,2697,1975,1741,1604,1625,1361,1150,1083,600,258,465,35.0,93.7,123393,713,687,434,244,431,203,341,418,225,554,958,1246,1135,592,1702,5214,4293,278,285,1256,707,639,1523,727,9424,5018,1264,542,17539,903,6673,636,5813,224,4803,486,0,296,4715,1424,10382,5547,23532,14221,2923,5228,10001,11740.833333333332,,,484.0,1.0,0.0,0.0,0.0,0.0,7.0
10002,ZCTA5 10002,75517,2259,3268,3051,2724,4797,7173,5944,5349,5147,4267,4511,5651,4108,4945,5034,2646,2124,2519,42.9,101.9,46525,3412,3888,2481,1738,1948,1282,1511,1359,1063,1525,1983,3085,2638,1610,2020,4228,18611,3406,3987,7755,2776,1732,4416,2359,15771,5620,1144,611,32990,2660,15149,2806,12141,109,7646,1564,15,373,16924,7076,18847,18646,56871,19896,6595,27597,10002,2410.583333333333,,,334.0,0.0,1.0,1.0,0.0,0.0,5.0
10003,ZCTA5 10003,53825,1399,999,926,7281,6676,7119,5838,3112,3115,2052,2525,2087,2413,2831,2081,1583,812,976,31.7,96.3,153750,1893,833,328,496,328,259,419,447,278,923,1309,1799,1532,1506,2925,9805,5614,446,60,1502,253,698,1557,925,16346,7964,3773,1956,31771,1323,11749,827,10391,520,8263,1072,20,263,6847,951,18233,5285,48540,34480,2359,9630,10003,3645.0,,,357.0,1.0,1.0,1.0,1.0,0.0,7.0
10004,ZCTA5 10004,3875,364,284,73,91,53,570,708,529,239,298,90,267,132,114,4,22,7,30,32.9,120.5,220592,40,0,0,6,0,5,6,0,0,76,6,176,98,153,237,972,157,0,0,39,11,62,130,5,1283,839,454,160,2537,159,1030,5,982,0,679,39,0,5,799,38,976,189,3686,2388,267,923,10004,2897.6666666666665,,,71.0,,,,,,3.0
10005,ZCTA5 10005,9238,356,168,319,56,1014,2272,1304,1103,632,475,699,348,131,157,204,0,0,0,31.5,100.8,211810,20,80,0,9,0,129,101,14,148,53,163,405,201,452,716,2665,424,9,0,299,131,193,282,61,3703,1377,958,134,7510,309,3616,0,3364,135,1749,134,0,0,1432,111,3724,935,8303,6123,405,1311,10005,5757.333333333333,,,78.0,0.0,0.0,1.0,0.0,0.0,2.0
10006,ZCTA5 10006,4475,123,119,54,556,158,900,841,444,565,264,157,55,96,54,89,0,0,0,31.5,78.9,209972,68,0,0,49,24,40,20,112,44,109,61,125,83,154,205,1211,580,0,0,163,0,57,229,75,1499,741,547,154,3040,125,1606,126,1281,122,556,21,0,48,792,160,1513,125,4350,2807,271,1058,10006,3961.1666666666665,,,39.0,,,,,,4.0
10007,ZCTA5 10007,7802,573,563,251,163,634,867,1023,803,645,948,377,139,211,324,173,1,60,47,33.8,90.1,"250,000+",158,47,0,0,12,42,21,0,16,19,60,104,64,81,473,2212,232,13,22,196,127,127,128,54,2936,1362,508,46,4897,291,2164,2,2142,0,1156,33,0,64,1690,174,1619,1016,6786,4719,684,1164,10007,3287.0,,,108.0,0.0,0.0,1.0,0.0,0.0,8.0
10009,ZCTA5 10009,58341,1828,1786,1416,1470,4208,7297,8404,4239,3340,2871,3055,4836,3991,2417,2780,1330,1901,1172,38.2,100.4,87963,3150,1850,1107,1029,588,521,443,678,509,1417,2118,2867,2266,2099,3320,6063,11359,1580,1014,4114,1141,1282,3366,1854,18161,9037,1043,1592,30672,1593,13979,2433,11075,285,5093,1754,143,783,10493,4283,19532,14245,44096,29544,4437,7415,10009,,,,143.0,0.0,1.0,0.0,0.0,0.0,1.0
10010,ZCTA5 10010,31905,1022,1468,1155,1924,2566,3714,3435,2528,1982,1965,1664,1375,1687,1365,1491,915,897,752,36.0,87.3,156127,799,459,480,207,219,468,233,83,141,487,595,1009,1674,725,1797,6816,2696,207,163,1360,152,338,1383,613,10844,4862,2757,676,18227,854,6310,986,5116,193,4757,296,0,135,6113,1385,10079,2701,29204,20040,2839,4517,10010,,,,176.0,,,,,,3.0
10011,ZCTA5 10011,49344,1163,1180,1109,2276,2590,5870,5806,3006,2966,3040,2930,4411,3592,2451,2600,2148,1502,704,43.0,101.2,146571,1280,784,499,592,336,350,877,501,443,1272,1252,1843,2172,2181,3325,10570,4295,443,278,2451,342,643,2314,952,16396,10511,3710,1874,30533,1654,12529,441,11854,203,6124,1023,0,489,8360,1489,19917,6398,42946,33431,1859,5091,10011,,,,333.0,0.0,1.0,1.0,0.0,0.0,8.0
10012,ZCTA5 10012,21846,713,309,671,410,2513,3288,2826,1713,1258,1750,1558,938,769,922,1129,542,319,218,35.5,91.5,130938,877,184,242,228,209,208,187,103,237,349,801,937,1302,940,1121,3984,2299,273,140,596,247,260,767,318,8539,3173,1270,1363,14136,879,4862,183,4553,109,3535,596,181,159,3593,751,8316,2300,19546,14392,646,3780,10012,,,,147.0,1.0,0.0,0.0,0.0,0.0,5.0
